"1","0.000000","1698367943.842013000","fe80::ac52:65ff:fe4b:3687","ff02::2","ICMPv6","70","Router Solicitation from ae:52:65:4b:36:87"
"2","0.036375","1698367943.878388000","fe80::ac52:65ff:fe4b:3687","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question"
"3","13.814921","1698367957.656934000","02:42:ac:14:00:02","Broadcast","ARP","42","Who has 172.20.0.3? Tell 172.20.0.2"
"4","13.814995","1698367957.657008000","02:42:ac:14:00:03","02:42:ac:14:00:02","ARP","42","172.20.0.3 is at 02:42:ac:14:00:03"
"5","13.815001","1698367957.657014000","172.20.0.2","172.20.0.3","TCP","74","37954 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834308971 TSecr=0 WS=128"
"6","13.815071","1698367957.657084000","172.20.0.3","172.20.0.2","TCP","54","41002 → 37954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","13.815280","1698367957.657293000","172.20.0.2","172.20.0.3","TCP","74","49112 → 41003 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834308971 TSecr=0 WS=128"
"8","13.815338","1698367957.657351000","172.20.0.3","172.20.0.2","TCP","74","41003 → 49112 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1346115979 TSecr=3834308971 WS=128"
"9","13.815362","1698367957.657375000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3834308971 TSecr=1346115979"
"10","14.928458","1698367958.770471000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=82 TSval=3834310084 TSecr=1346115979"
"11","14.928570","1698367958.770583000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1 Ack=83 Win=65152 Len=0 TSval=1346117092 TSecr=3834310084"
"12","14.928764","1698367958.770777000","172.20.0.2","172.20.0.3","TCP","74","37968 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834310084 TSecr=0 WS=128"
"13","14.928857","1698367958.770870000","172.20.0.3","172.20.0.2","TCP","54","41002 → 37968 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"14","14.929306","1698367958.771319000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=1 Ack=83 Win=65152 Len=82 TSval=1346117093 TSecr=3834310084"
"15","14.929357","1698367958.771370000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=83 Ack=83 Win=64256 Len=0 TSval=3834310085 TSecr=1346117093"
"16","16.132871","1698367959.974884000","172.20.0.2","172.20.0.3","TCP","74","37982 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834311289 TSecr=0 WS=128"
"17","16.132983","1698367959.974996000","172.20.0.3","172.20.0.2","TCP","54","41002 → 37982 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"18","16.133095","1698367959.975108000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=83 Ack=83 Win=64256 Len=82 TSval=3834311289 TSecr=1346117093"
"19","16.133282","1698367959.975295000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=83 Ack=165 Win=65152 Len=82 TSval=1346118297 TSecr=3834311289"
"20","16.133302","1698367959.975315000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=165 Ack=165 Win=64256 Len=0 TSval=3834311289 TSecr=1346118297"
"21","17.334637","1698367961.176650000","172.20.0.2","172.20.0.3","TCP","74","37984 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834312490 TSecr=0 WS=128"
"22","17.334752","1698367961.176765000","172.20.0.3","172.20.0.2","TCP","54","41002 → 37984 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"23","17.334864","1698367961.176877000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=165 Ack=165 Win=64256 Len=82 TSval=3834312491 TSecr=1346118297"
"24","17.335143","1698367961.177156000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=165 Ack=247 Win=65152 Len=82 TSval=1346119499 TSecr=3834312491"
"25","17.335167","1698367961.177180000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=247 Ack=247 Win=64256 Len=0 TSval=3834312491 TSecr=1346119499"
"26","18.536460","1698367962.378473000","172.20.0.2","172.20.0.3","TCP","74","37992 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834313692 TSecr=0 WS=128"
"27","18.536575","1698367962.378588000","172.20.0.3","172.20.0.2","TCP","54","41002 → 37992 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"28","18.536669","1698367962.378682000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=247 Ack=247 Win=64256 Len=82 TSval=3834313692 TSecr=1346119499"
"29","18.536893","1698367962.378906000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=247 Ack=329 Win=65152 Len=82 TSval=1346120701 TSecr=3834313692"
"30","18.536925","1698367962.378938000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=329 Ack=329 Win=64256 Len=0 TSval=3834313693 TSecr=1346120701"
"31","19.738462","1698367963.580475000","172.20.0.2","172.20.0.3","TCP","74","38002 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834314894 TSecr=0 WS=128"
"32","19.738596","1698367963.580609000","172.20.0.3","172.20.0.2","TCP","54","41002 → 38002 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"33","19.738712","1698367963.580725000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=329 Ack=329 Win=64256 Len=82 TSval=3834314894 TSecr=1346120701"
"34","19.738922","1698367963.580935000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=329 Ack=411 Win=65152 Len=82 TSval=1346121903 TSecr=3834314894"
"35","19.738947","1698367963.580960000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=411 Ack=411 Win=64256 Len=0 TSval=3834314895 TSecr=1346121903"
"36","20.940389","1698367964.782402000","172.20.0.2","172.20.0.3","TCP","74","38008 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834316096 TSecr=0 WS=128"
"37","20.940532","1698367964.782545000","172.20.0.3","172.20.0.2","TCP","54","41002 → 38008 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"38","20.940643","1698367964.782656000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=411 Ack=411 Win=64256 Len=82 TSval=3834316096 TSecr=1346121903"
"39","20.940791","1698367964.782804000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=411 Ack=493 Win=65152 Len=82 TSval=1346123104 TSecr=3834316096"
"40","20.940825","1698367964.782838000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=493 Ack=493 Win=64256 Len=0 TSval=3834316096 TSecr=1346123104"
"41","22.142184","1698367965.984197000","172.20.0.2","172.20.0.3","TCP","74","49724 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834317298 TSecr=0 WS=128"
"42","22.142314","1698367965.984327000","172.20.0.3","172.20.0.2","TCP","54","41002 → 49724 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"43","22.142427","1698367965.984440000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=493 Ack=493 Win=64256 Len=82 TSval=3834317298 TSecr=1346123104"
"44","22.142665","1698367965.984678000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=493 Ack=575 Win=65152 Len=82 TSval=1346124306 TSecr=3834317298"
"45","22.142690","1698367965.984703000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=575 Ack=575 Win=64256 Len=0 TSval=3834317298 TSecr=1346124306"
"46","23.343877","1698367967.185890000","172.20.0.2","172.20.0.3","TCP","74","49740 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834318499 TSecr=0 WS=128"
"47","23.344004","1698367967.186017000","172.20.0.3","172.20.0.2","TCP","54","41002 → 49740 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"48","23.344114","1698367967.186127000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=575 Ack=575 Win=64256 Len=82 TSval=3834318500 TSecr=1346124306"
"49","23.344356","1698367967.186369000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=575 Ack=657 Win=65152 Len=82 TSval=1346125508 TSecr=3834318500"
"50","23.344381","1698367967.186394000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=657 Ack=657 Win=64256 Len=0 TSval=3834318500 TSecr=1346125508"
"51","24.545805","1698367968.387818000","172.20.0.2","172.20.0.3","TCP","74","49748 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834319701 TSecr=0 WS=128"
"52","24.545964","1698367968.387977000","172.20.0.3","172.20.0.2","TCP","54","41002 → 49748 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"53","24.546104","1698367968.388117000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=657 Ack=657 Win=64256 Len=82 TSval=3834319702 TSecr=1346125508"
"54","24.546396","1698367968.388409000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=657 Ack=739 Win=65152 Len=82 TSval=1346126710 TSecr=3834319702"
"55","24.546445","1698367968.388458000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=739 Ack=739 Win=64256 Len=0 TSval=3834319702 TSecr=1346126710"
"56","25.701810","1698367969.543823000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=739 Ack=739 Win=64256 Len=7240 TSval=3834320857 TSecr=1346126710"
"57","25.701875","1698367969.543888000","172.20.0.2","172.20.0.3","TCP","3232","49112 → 41003 [PSH, ACK] Seq=7979 Ack=739 Win=64256 Len=3166 TSval=3834320857 TSecr=1346126710"
"58","25.702056","1698367969.544069000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=739 Ack=11145 Win=64128 Len=0 TSval=1346127866 TSecr=3834320857"
"59","25.811326","1698367969.653339000","172.20.0.2","172.20.0.3","TCP","74","49760 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834320967 TSecr=0 WS=128"
"60","25.811440","1698367969.653453000","172.20.0.3","172.20.0.2","TCP","54","41002 → 49760 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"61","26.656997","1698367970.499010000","172.20.0.2","172.20.0.3","TCP","229","49112 → 41003 [PSH, ACK] Seq=11145 Ack=739 Win=64256 Len=163 TSval=3834321813 TSecr=1346127866"
"62","26.699911","1698367970.541924000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=739 Ack=11308 Win=64128 Len=0 TSval=1346128864 TSecr=3834321813"
"63","26.984929","1698367970.826942000","172.20.0.2","172.20.0.3","TCP","74","49762 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834322141 TSecr=0 WS=128"
"64","26.985022","1698367970.827035000","172.20.0.3","172.20.0.2","TCP","54","41002 → 49762 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"65","27.858740","1698367971.700753000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=11308 Ack=739 Win=64256 Len=82 TSval=3834323014 TSecr=1346128864"
"66","27.858825","1698367971.700838000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=739 Ack=11390 Win=64128 Len=0 TSval=1346130022 TSecr=3834323014"
"67","27.859052","1698367971.701065000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=739 Ack=11390 Win=64128 Len=82 TSval=1346130023 TSecr=3834323014"
"68","27.859089","1698367971.701102000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=11390 Ack=821 Win=64256 Len=0 TSval=3834323015 TSecr=1346130023"
"69","28.186869","1698367972.028882000","172.20.0.2","172.20.0.3","TCP","74","49764 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834323343 TSecr=0 WS=128"
"70","28.186979","1698367972.028992000","172.20.0.3","172.20.0.2","TCP","54","41002 → 49764 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"71","29.060420","1698367972.902433000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=11390 Ack=821 Win=64256 Len=82 TSval=3834324216 TSecr=1346130023"
"72","29.060661","1698367972.902674000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=821 Ack=11472 Win=64128 Len=82 TSval=1346131224 TSecr=3834324216"
"73","29.060689","1698367972.902702000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=11472 Ack=903 Win=64256 Len=0 TSval=3834324216 TSecr=1346131224"
"74","29.389595","1698367973.231608000","172.20.0.2","172.20.0.3","TCP","74","49774 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834324545 TSecr=0 WS=128"
"75","29.389663","1698367973.231676000","172.20.0.3","172.20.0.2","TCP","54","41002 → 49774 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"76","30.263134","1698367974.105147000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=11472 Ack=903 Win=64256 Len=82 TSval=3834325419 TSecr=1346131224"
"77","30.263335","1698367974.105348000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=903 Ack=11554 Win=64128 Len=82 TSval=1346132427 TSecr=3834325419"
"78","30.263371","1698367974.105384000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=11554 Ack=985 Win=64256 Len=0 TSval=3834325419 TSecr=1346132427"
"79","30.591015","1698367974.433028000","172.20.0.2","172.20.0.3","TCP","74","49782 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834325747 TSecr=0 WS=128"
"80","30.591115","1698367974.433128000","172.20.0.3","172.20.0.2","TCP","54","41002 → 49782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"81","31.464890","1698367975.306903000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=11554 Ack=985 Win=64256 Len=82 TSval=3834326621 TSecr=1346132427"
"82","31.465077","1698367975.307090000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=985 Ack=11636 Win=64128 Len=82 TSval=1346133629 TSecr=3834326621"
"83","31.465107","1698367975.307120000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=11636 Ack=1067 Win=64256 Len=0 TSval=3834326621 TSecr=1346133629"
"84","31.792870","1698367975.634883000","172.20.0.2","172.20.0.3","TCP","74","53516 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834326949 TSecr=0 WS=128"
"85","31.792977","1698367975.634990000","172.20.0.3","172.20.0.2","TCP","54","41002 → 53516 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"86","32.666942","1698367976.508955000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=11636 Ack=1067 Win=64256 Len=82 TSval=3834327823 TSecr=1346133629"
"87","32.667681","1698367976.509694000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=1067 Ack=11718 Win=64128 Len=82 TSval=1346134831 TSecr=3834327823"
"88","32.667715","1698367976.509728000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=11718 Ack=1149 Win=64256 Len=0 TSval=3834327823 TSecr=1346134831"
"89","33.006866","1698367976.848879000","172.20.0.2","172.20.0.3","TCP","74","53520 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834328162 TSecr=0 WS=128"
"90","33.006973","1698367976.848986000","172.20.0.3","172.20.0.2","TCP","54","41002 → 53520 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"91","33.881726","1698367977.723739000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=11718 Ack=1149 Win=64256 Len=82 TSval=3834329037 TSecr=1346134831"
"92","33.887910","1698367977.729923000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=1149 Ack=11800 Win=64128 Len=82 TSval=1346136052 TSecr=3834329037"
"93","33.887929","1698367977.729942000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=11800 Ack=1231 Win=64256 Len=0 TSval=3834329044 TSecr=1346136052"
"94","34.218808","1698367978.060821000","172.20.0.2","172.20.0.3","TCP","74","53522 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834329374 TSecr=0 WS=128"
"95","34.218912","1698367978.060925000","172.20.0.3","172.20.0.2","TCP","54","41002 → 53522 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"96","35.092854","1698367978.934867000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=11800 Ack=1231 Win=64256 Len=82 TSval=3834330248 TSecr=1346136052"
"97","35.093193","1698367978.935206000","172.20.0.3","172.20.0.2","TCP","148","41003 → 49112 [PSH, ACK] Seq=1231 Ack=11882 Win=64128 Len=82 TSval=1346137257 TSecr=3834330248"
"98","35.093228","1698367978.935241000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [ACK] Seq=11882 Ack=1313 Win=64256 Len=0 TSval=3834330249 TSecr=1346137257"
"99","35.420955","1698367979.262968000","172.20.0.2","172.20.0.3","TCP","74","53530 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834330577 TSecr=0 WS=128"
"100","35.421062","1698367979.263075000","172.20.0.3","172.20.0.2","TCP","54","41002 → 53530 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"101","36.294588","1698367980.136601000","172.20.0.2","172.20.0.3","TCP","148","49112 → 41003 [PSH, ACK] Seq=11882 Ack=1313 Win=64256 Len=82 TSval=3834331450 TSecr=1346137257"
